=== TABLE: admin_list ===
Columns: ['gm_name']
Row count: 1
('CrazyAdmin',)

=== TABLE: admin_settings ===
Columns: ['key', 'value']
Row count: 43
('Admin-Level-/kill', 3)
('Admin-Level-/revive', 3)
('Admin-Level-/closecon', 3)
('Admin-Level-/checkrep', 1)
('Admin-Level-/who', 0)
('Admin-Level-/energysphere', 2)
('Admin-Level-/shutdownthisserverrightnow', 3)
('Admin-Level-/setobservermode', 3)
('Admin-Level-/shutup', 2)
('Admin-Level-/attack', 2)
('Admin-Level-/summondemon', 3)
('Admin-Level-/summondeath', 3)
('Admin-Level-/reservefightzone', 2)
('Admin-Level-/createfish', 2)
('Admin-Level-/teleport', 2)
('Admin-Level-/checkip', 2)
('Admin-Level-/polymorph', 2)
('Admin-Level-/setinvi', 2)
('Admin-Level-/setzerk', 2)
('Admin-Level-/setfreeze', 2)
('Admin-Level-/gns', 2)
('Admin-Level-/setattackmode', 2)
('Admin-Level-/unsummonall', 3)
('Admin-Level-/unsummondemon', 3)
('Admin-Level-/summonnpc', 3)
('Admin-Level-/summonall', 4)
('Admin-Level-/summonplayer', 1)
('Admin-Level-/disconnectall', 2)
('Admin-Level-/enableadmincreateitem', 3)
('Admin-Level-/createitem', 4)
('Admin-Level-/storm', 3)
('Admin-Level-/weather', 2)
('Admin-Level-/setstatus', 2)
('Admin-Level-/goto', 1)
('Admin-Level-/monstercount', 1)
('Admin-Level-/setforcerecalltime', 3)
('Admin-Level-/unsummonboss', 3)
('Admin-Level-/clearnpc', 3)
('Admin-Level-/time', 2)
('Admin-Level-/send', 2)
('Admin-Level-/summonguild', 3)
('Admin-Level-/checkstatus', 0)
('Admin-Level-/clearmap', 0)

=== TABLE: banned_list ===
Columns: ['ip_address']
Row count: 1
('192.118.1.1',)

=== TABLE: builditem_configs ===
Columns: ['build_id', 'name', 'skill_limit', 'material_id1', 'material_count1', 'material_value1', 'material_id2', 'material_count2', 'material_value2', 'material_id3', 'material_count3', 'material_value3', 'material_id4', 'material_count4', 'material_value4', 'material_id5', 'material_count5', 'material_value5', 'material_id6', 'material_count6', 'material_value6', 'average_value', 'max_skill', 'attribute', 'item_id']
Row count: 97
(0, 'SuperCoal', 20, 355, 1, 0, 355, 1, 0, 355, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 501)
(1, 'UltraCoal', 80, 501, 1, 0, 501, 1, 0, 357, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 502)
(2, 'IronIngot', 20, 357, 1, 0, 357, 1, 0, 357, 1, 0, 501, 1, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 500)
(3, 'MithralIngot', 85, 508, 1, 0, 508, 1, 0, 502, 1, 0, 501, 1, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 506)
(4, 'GoldIngot', 70, 354, 1, 0, 354, 1, 0, 354, 1, 0, 501, 1, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 503)
(5, 'SilverIngot', 40, 356, 1, 0, 356, 1, 0, 356, 1, 0, 501, 1, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 504)
(6, 'BlondeIngot', 40, 507, 1, 0, 507, 1, 0, 507, 1, 0, 501, 1, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 505)
(7, 'Dagger', 30, 500, 1, 2, 501, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 40, 0, 1)
(8, 'ShortSword', 40, 500, 1, 2, 501, 1, 2, 357, 1, 1, 355, 1, 0, 0, 0, 0, 0, 0, 0, 33, 50, 0, 8)
(9, 'MainGauche', 50, 500, 1, 2, 501, 1, 2, 357, 1, 1, 355, 1, 0, 0, 0, 0, 0, 0, 0, 41, 60, 0, 12)
(10, 'Gradius', 60, 500, 1, 2, 501, 1, 2, 357, 1, 1, 355, 1, 0, 0, 0, 0, 0, 0, 0, 48, 70, 0, 15)
(11, 'LongSword', 40, 500, 1, 2, 500, 1, 2, 501, 1, 1, 355, 1, 0, 0, 0, 0, 0, 0, 0, 33, 50, 0, 17)
(12, 'Sabre', 50, 500, 1, 2, 500, 1, 2, 501, 1, 1, 355, 1, 0, 0, 0, 0, 0, 0, 0, 41, 60, 0, 23)
